"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
"#China, #Tanzania issue joint communique on boosting friendly cooperation","Xi Jinping, Jakaya Mrisho Kikwete","#China, #Tanzania issue joint communique on boosting friendly cooperation","Xi Jinping, Jakaya Mrisho Kikwete","#China, #Tanzania issue joint communique on boosting friendly cooperation","Xi Jinping, Jakaya Mrisho Kikwete","Xi Jinping on state visit meets with president of #Tanzania, President Xi meets with #Zanzibar's president #China, Xi Jinping speaks on #Africa policy, pledges assistance, #China, #Tanzania issue joint communique on boosting friendly cooperation","Xi Jinping, Jakaya Mrisho Kikwete, Xi Jinping, Ali Mohamed Shein, Xi Jinping, Jakaya Mrisho Kikwete, Xi Jinping, Jakaya Mrisho Kikwete",24.3.2013 - 25.3.2013,25.3.2013,25.3.2013,TRUE,25.3.2013,"March 25, 2013",Tanzania,Dares Salaam,,http://news.xinhuanet.com/english/china/2013-03/25/c_132260936.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=16742
Xi Jinping calls for closer #China-#Russia cultural bonds,Xi Jinping,Xi Jinping calls for closer #China-#Russia cultural bonds,Xi Jinping,Xi Jinping calls for closer #China-#Russia cultural bonds,Xi Jinping,"#China's new president arrives in Moscow for state visit #Russia, #Chinese, #Russian presidents vow to enhance comprehensive strategic cooperation, Visiting #Chinese President Xi welcomed by #Russian President Putin, Xi, top Russian legislator vow to enhance inter-parliamentary ties #China #Russia, Xi hopes #China, #Russia to boost military ties, #China, #Russia outline cooperation priorities, urge new type of great-power relations, Xi Jinping visits #Russia, meets with Vladimir Putin, makes push for tourism cooperation, Xi Jinping calls for closer #China-#Russia cultural bonds","Xi Jinping, Viktor Ishayev, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping, Sergei Naryshkin, Xi Jinping, Sergei Shoigu, Xi Jinping, Vladimir Putin, Xi Jinping, Vladimir Putin, Xi Jinping",22.3.2013 - 24.3.2013,24.3.2013,24.3.2013,TRUE,24.3.2013,"March 24, 2013",Russia,Moscow,,http://news.xinhuanet.com/english/china/2013-03/25/c_124496967.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=16739
#China's parliament convenes as new leadership expected,"Hu Jintao, Jia Qinglin, Li Keqiang, Liu Yunshan, Wang Qishan, Wen Jiabao, Wu Bangguo, Xi Jinping, Yu Zhengsheng, Zhang Dejiang, Zhang Gaoli",#China's parliament convenes as new leadership expected,"Hu Jintao, Jia Qinglin, Li Keqiang, Liu Yunshan, Wang Qishan, Wen Jiabao, Wu Bangguo, Xi Jinping, Yu Zhengsheng, Zhang Dejiang, Zhang Gaoli",#China's parliament convenes as new leadership expected,"Hu Jintao, Jia Qinglin, Li Keqiang, Liu Yunshan, Wang Qishan, Wen Jiabao, Wu Bangguo, Xi Jinping, Yu Zhengsheng, Zhang Dejiang, Zhang Gaoli",#China's parliament convenes as new leadership expected,"Hu Jintao, Jia Qinglin, Li Keqiang, Liu Yunshan, Wang Qishan, Wen Jiabao, Wu Bangguo, Xi Jinping, Yu Zhengsheng, Zhang Dejiang, Zhang Gaoli",5.3.2013,5.3.2013,5.3.2013,TRUE,5.3.2013,"March 05, 2013",,,,http://eng.mod.gov.cn/TopNews/2013-03/06/content_4435727.htm,,http://www.chinavitae.com//vip/index.php?mode=show&id=16551
#China conveys condolences to #U.S. over storm disaster,Hu Jintao,#China conveys condolences to #U.S. over storm disaster,Hu Jintao,#China conveys condolences to #U.S. over storm disaster,Hu Jintao,#China conveys condolences to #U.S. over storm disaster,Hu Jintao,31.10.2012,31.10.2012,31.10.2012,TRUE,31.10.2012,"October 31, 2012",,,,http://news.xinhuanet.com/english/china/2012-10/31/c_131942811.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=15783
Hu Jintao and president of #Chile attend free-trade agreement signing ceremony in #Russia,"Hu Jintao, Sebastian Pinera",Hu Jintao and president of #Chile attend free-trade agreement signing ceremony in #Russia,"Hu Jintao, Sebastian Pinera",Hu Jintao and president of #Chile attend free-trade agreement signing ceremony in #Russia,"Hu Jintao, Sebastian Pinera","Hu Jintao arrives for #APEC forum in Vladivostok #Russia, Hu Jintao meets with Vladimir #Putin at #APEC forum in #Russia, Hu Jintao  meets President of #Vietnam in #Russia, #Hu Jintao announces #China to host 2014 #APEC economic leaders' meeting, Hu Jintao meets president of #Indonesia at #APEC forum in #Russia, Hu Jintao delivers key-note speech on infrastructure at #APEC CEO summit in #Russia, Hu Jintao met with Japanese Prime Minister and made clear #China's position on its relations with #Japan and the #Diaoyu Islands., Hu Jintao calls for strengthening food security, innovative growth at #APEC forum in #Russia, #APEC leaders discuss food security, innovative growth. #Russia #China, Hu Jintao and Prime Minister of #Canada discuss cooperation at #APEC forum in #Russia, Hu Jintao and president of #Chile attend free-trade agreement signing ceremony in #Russia","Hu Jintao, Hu Jintao, Vladimir Putin, Hu Jintao, Tan Sang Truong, Hu Jintao, Hu Jintao, Susilo Bambang Yudhoyono, Hu Jintao, Hu Jintao, Yoshihiko Noda, Hu Jintao, Hu Jintao, Hu Jintao, Stephen Harper, Hu Jintao, Sebastian Pinera",6.9.2012 - 9.9.2012,9.9.2012,9.9.2012,TRUE,9.9.2012,"September 09, 2012",Russia,Vladivostok,,http://news.xinhuanet.com/english/photo/2012-09/09/c_131837888.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=15454
"Chinese, U.S. presidents meet on bilateral ties","Hu Jintao, Barack Obama","Chinese, U.S. presidents meet on bilateral ties","Hu Jintao, Barack Obama","Chinese, U.S. presidents meet on bilateral ties","Hu Jintao, Barack Obama","Hu arrives in Los Cabos for G20 summit, Chinese, Ethiopian leaders discuss cooperation, Chinese, Mexican presidents meet on bilateral ties, State Councilor Dai Bingguo Meets with US President's National Security Advisor Donilon
, President Hu Jintao Attends BRICS Leaders Meeting, President Hu Jintao Attends the Seventh G20 Summit and Delivers an Important Speech
, President Hu Jintao Meets with French President Hollande, Chinese, Mexican presidents meet on ties, int'l issues, Chinese president meets German chancellor in Los Cabos, G20 summit starts, Chinese president expected to speak on growth, Chinese president calls for closer BRICS cooperation, G20 coordination, Hu Jintao Delivers Keynote Speech to the Seventh Leaders' Summit of the G20, Chinese, U.S. presidents meet on bilateral ties","Hu Jintao, Hu Jintao, Meles Zenawi, Hu Jintao, Felipe Calderon, Dai Bingguo, Hu Jintao, Tom Donilon, Hu Jintao, Dilma Rousseff, Vladimir Putin, Manmohan Singh, Jacob Zuma, Hu Jintao, Hu Jintao, Francois Hollande, Hu Jintao, Felipe Calderon, Hu Jintao, Angela Merkel, Hu Jintao, Felipe Calderon, Hu Jintao, Yang Jiechi, Hu Jintao, Hu Jintao, Barack Obama",16.6.2012 - 20.6.2012,20.6.2012,20.6.2012,TRUE,20.6.2012,"June 20, 2012",Mexico,Los Cabos,,http://news.xinhuanet.com/english/china/2012-06/20/c_131664190.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=14889
"Chinese president's visit cements friendship, expands cooperation with Denmark: FM","Hu Jintao,  Margrethe II","Chinese president's visit cements friendship, expands cooperation with Denmark: FM","Hu Jintao,  Margrethe II","Chinese president's visit cements friendship, expands cooperation with Denmark: FM","Hu Jintao,  Margrethe II","President Hu arrives in Denmark for landmark visit, Chinese president, Danish PM witness signing of 11 cooperation documents, Chinese president's visit cements friendship, expands cooperation with Denmark: FM","Hu Jintao,  Margrethe II, Hu Jintao, Helle Thorning-Schmidt, Hu Jintao,  Margrethe II",14.6.2012 - 16.6.2012,16.6.2012,16.6.2012,TRUE,16.6.2012,"June 16, 2012",Denmark,Copenhagen,,http://news.xinhuanet.com/english/china/2012-06/17/c_123293575.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=14844
Chinese president inspects restoration work for Takeo in Angkor complex,Hu Jintao,Chinese president inspects restoration work for Takeo in Angkor complex,Hu Jintao,Chinese president inspects restoration work for Takeo in Angkor complex,Hu Jintao,"Chinese president starts visit to Cambodia, Chinese president, Cambodian PM agree to advance ties, Chinese president, Cambodian king discuss all-around cooperation, Chinese President attends welcome banquet hosted by Cambodian King, Chinese president inspects restoration work for Takeo in Angkor complex","Hu Jintao, Sam Ol Kong, Hu Jintao, Sen Hun, Hu Jintao, Norodom Sihamoni, Hu Jintao, Norodom Sihamoni, Hu Jintao",30.3.2012 - 1.4.2012,1.4.2012,1.4.2012,TRUE,1.4.2012,"April 01, 2012",Cambodia,Siem Reap,,http://news.xinhuanet.com/english/china/2012-04/02/c_131503434.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=13981
Chinese president meets Indian prime minister,"Hu Jintao, Manmohan Singh",Chinese president meets Indian prime minister,"Hu Jintao, Manmohan Singh",Chinese president meets Indian prime minister,"Hu Jintao, Manmohan Singh","Chinese, Russian leaders meet on cooperation, Chinese president calls for promoting BRICS cooperation to new level, Chinese president meets Indian prime minister","Hu Jintao, Dmitry Medvedev, Hu Jintao, Hu Jintao, Manmohan Singh",28.3.2012 - 29.3.2012,29.3.2012,29.3.2012,TRUE,29.3.2012,"March 29, 2012",India,New Delhi,,http://news.xinhuanet.com/english/china/2012-03/30/c_122906924.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=13939
Chinese president leaves Seoul for BRICS summit in New Delhi,Hu Jintao,Chinese president leaves Seoul for BRICS summit in New Delhi,Hu Jintao,Chinese president leaves Seoul for BRICS summit in New Delhi,Hu Jintao,"Chinese president arrives in Seoul for Nuclear Security Summit, Chinese, South African presidents discuss bilateral cooperation, Chinese, South Korean presidents meet on ties, other issues, Chinese, U.S. presidents meet on ties, major issues, Chinese president delivers important speech at Seoul Nuclear Security Summit, President Hu elaborates on China's stand at Seoul Nuclear Security Summit, Chinese president leaves Seoul for BRICS summit in New Delhi","Hu Jintao, Hu Jintao, Jacob Zuma, Hu Jintao, Myung-bak Lee, Hu Jintao, Barack Obama, Hu Jintao, Hu Jintao, Hu Jintao",25.3.2012 - 28.3.2012,28.3.2012,28.3.2012,TRUE,28.3.2012,"March 28, 2012",Republic of Korea,Seoul,,http://news.xinhuanet.com/english/china/2012-03/28/c_131493117.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=13932
"Chinese, Bruneian leaders pledge to enhance ties","Hu Jintao, Hassanal Bolkiah","Chinese, Bruneian leaders pledge to enhance ties","Hu Jintao, Hassanal Bolkiah","Chinese, Bruneian leaders pledge to enhance ties","Hu Jintao, Hassanal Bolkiah","Chinese, Bruneian leaders pledge to enhance ties","Hu Jintao, Hassanal Bolkiah",21.11.2011,21.11.2011,21.11.2011,TRUE,21.11.2011,"November 21, 2011",Brunei,Bandar Seri Begawan,,http://news.xinhuanet.com/english2010/china/2011-11/21/c_131260861.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=12684
Chinese president ends Hawaii trip after APEC meeting,Hu Jintao,Chinese president ends Hawaii trip after APEC meeting,Hu Jintao,Chinese president ends Hawaii trip after APEC meeting,Hu Jintao,"Chinese president arrives in Hawaii for APEC meeting, Chinese president meets U.S. business representatives on trade cooperation
, Yang Jiechi and Chen Deming Attend the 23rd APEC Ministerial Meeting, Hu reaffirms support to Hong Kong's stability, prosperity, Hu reaffirms support to Hong Kong's stability, prosperity, Hu meets KMT honorary chairman in Hawaii, Chinese president calls for stronger ties with Peru, Hu Jintao Meets with Vietnamese President Truong Tan Sang, Hu Jintao Meets with Japanese Prime Minister Yoshihiko Noda, Hu Jintao Meets with Canadian Prime Minister Harper, Business leaders encouraged by Chinese president's speech at APEC CEO summit, Hu, Obama vow to further China-U.S. partnership, Business leaders encouraged by Chinese president's speech at APEC CEO summit, Chinese president, Canadian PM meet on advancing strategic partnership, China pledges to deepen economic restructuring, grow green economy, Chinese, Vietnamese presidents discuss bilateral ties, Chinese president meets Japanese PM on advancing bilateral ties, China pledges to deepen economic restructuring, grow green economy, Chinese, U.S. presidents meet in Hawaii on bilateral ties, Chinese president delivers keynote speech at APEC CEO summit, Chinese president outlines four-point proposal on Asia-Pacific economic development, Chinese, U.S. presidents meet in Hawaii on bilateral ties, Chinese president attends APEC meeting in Hawaii, Chinese president ends Hawaii trip after APEC meeting","Hu Jintao, Hu Jintao, Hu Jintao, Chen Deming, Yang Jiechi, Hu Jintao, Donald Tsang, Hu Jintao, Donald Tsang, Hu Jintao, Chan Lien, Hu Jintao, Ollanta Humala, Hu Jintao, Tan Sang Truong, Hu Jintao, Yoshihiko Noda, Hu Jintao, Stephen Harper, Hu Jintao, Hu Jintao, Barack Obama, Hu Jintao, Hu Jintao, Stephen Harper, Hu Jintao, Hu Jintao, Truong Tan Sang, Hu Jintao, Yoshihiko Noda, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Barack Obama, Hu Jintao, Hu Jintao",10.11.2011 - 14.11.2011,14.11.2011,14.11.2011,TRUE,14.11.2011,"November 14, 2011",USA,Hawaii,Honolulu,http://news.xinhuanet.com/english2010/china/2011-11/15/c_131246595.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=12607
Chinese president meets U.S. business representatives on trade cooperation,Hu Jintao,Chinese president meets U.S. business representatives on trade cooperation,Hu Jintao,Chinese president meets U.S. business representatives on trade cooperation,Hu Jintao,Chinese president meets U.S. business representatives on trade cooperation,Hu Jintao,10.11.2011,10.11.2011,10.11.2011,TRUE,10.11.2011,"November 10, 2011",USA,Hawaii,Honolulu,http://news.xinhuanet.com/english2010/china/2011-11/11/c_131240881.htm,business,http://www.chinavitae.com//vip/index.php?mode=show&id=12592
"Hu addresses commodity prices, energy, food security in G-20 summit speech",Hu Jintao,"Hu addresses commodity prices, energy, food security in G-20 summit speech",Hu Jintao,"Hu addresses commodity prices, energy, food security in G-20 summit speech",Hu Jintao,"Hu Jintao Meets with His Brazilian Counterpart Rousseff, Hu Jintao Meets with His French Counterpart Sarkozy, Chinese president arrives in France for G20 summit, Chinese, Brazilian presidents meet on cooperation, Chinese president calls for global efforts to tackle economic woes, Hu Jintao Meets with U.S. President Obama, Chinese, Russian presidents meet in Cannes, Chinese president, other BRICS leaders meet ahead of G-20 summit, Chinese president, other G-20 leaders attend summit in Cannes, China makes more contributions to world economic growth: Hu, Chinese President Hu's speech at G20 Summit in Cannes, China pledges more help to other developing countries, Hu calls for joint efforts to promote growth, financial stability, Chinese and French leaders meet ahead of G20 summit, Hu addresses commodity prices, energy, food security in G-20 summit speech","Hu Jintao, Dilma Rousseff, Hu Jintao, Nicolas Sarkozy, Hu Jintao, Hu Jintao, Dilma Rousseff, Hu Jintao, Hu Jintao, Barack Obama, Hu Jintao, Dmitry Medvedev, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Nicholas Sarkozy, Hu Jintao",2.11.2011 - 4.11.2011,4.11.2011,4.11.2011,TRUE,4.11.2011,"November 04, 2011",France,Cannes,,http://news.xinhuanet.com/english2010/china/2011-11/04/c_131230254.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=12469
Chinese president leaves Salzburg for G20 summit in Cannes,Hu Jintao,Chinese president leaves Salzburg for G20 summit in Cannes,Hu Jintao,Chinese president leaves Salzburg for G20 summit in Cannes,Hu Jintao,"President Hu's Austria visit to boost bilateral ties, Chinese president arrives in Vienna for state visit to Austria, Hu Jintao Meets with Austrian National Council President Prammer, Hu Jintao Arrives in Salzburg to Continue His Austria Visit, Hu Jintao Meets with Austrian Federal Chancellor Faymann, Chinese President and his Austrian counterpart meet press in Vienna, Chinese President Hu Jintao visits the National Library of Austria, Chinese, Austrian presidents hold talks on closer ties, Chinese president meets Austrian top legislator, Chinese president presents proposal to enhance ties with Austria, Chinese president visits Mozart residence in Austria, Chinese president visits Austria for stronger ties, Chinese president continues Austria visit, tours farm near Salzburg, Chinese president leaves Salzburg for G20 summit in Cannes","Hu Jintao, Hu Jintao, Hu Jintao, Barbara Prammer, Hu Jintao, Heinz Fischer, Hu Jintao, Werner Faymann, Hu Jintao, Heinz Fischer, Hu Jintao, Hu Jintao, Heinz Fischer, Hu Jintao, Barbara Prammer, Hu Jintao, Heinz Fischer, Hu Jintao, Hu Jintao, Heinz Fischer, Hu Jintao, Hu Jintao",29.10.2011 - 2.11.2011,2.11.2011,2.11.2011,TRUE,2.11.2011,"November 02, 2011",Austria,Salzburg,,http://news.xinhuanet.com/english2010/china/2011-11/02/c_131226043.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=12444
Chinese president calls for closer cooperation with Ukraine,"Hu Jintao, Mykola Azarov",Chinese president calls for closer cooperation with Ukraine,"Hu Jintao, Mykola Azarov",Chinese president calls for closer cooperation with Ukraine,"Hu Jintao, Mykola Azarov","Yanukovych expects President Hu's visit to push Sino-Ukrainian ties to new high, Chinese president kicks off state visit to Ukraine, Chinese, Ukrainian presidents meet on ties, President Hu Jintao Meets with Ukrainian Parliament Speaker Lytvyn, President Hu Jintao Meets with Ukrainian Prime Minister Azarov
, President Hu Jintao Winds up Eurasia Tour and Returns Home
, Chinese, Ukrainian presidents hold talks on boosting bilateral ties, China, Ukraine clinch cooperation deals, Chinese president winds up Eurasia tour, Chinese president calls for closer cooperation with Ukraine","Hu Jintao, Viktor Yanukovich, Hu Jintao, Hu Jintao, Viktor Yanukovych, Hu Jintao, Volodymyr Lytvyn, Hu Jintao, Mykola Azarov, Hu Jintao, Hu Jintao, Viktor Yanukovych, Hu Jintao, Dai Bingguo, Andrey Klyuyev, Hu Jintao, Viktor Yanukovich, Hu Jintao, Mykola Azarov",17.6.2011 - 20.6.2011,20.6.2011,20.6.2011,TRUE,20.6.2011,"June 20, 2011",Ukraine,Kiev,,http://news.xinhuanet.com/english2010/china/2011-06/20/c_13940269.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=11265
Chinese president wraps up state visit to Russia,Hu Jintao,Chinese president wraps up state visit to Russia,Hu Jintao,Chinese president wraps up state visit to Russia,Hu Jintao,"President Hu Jintao Arrives in Russia for State Visit and the St. Petersburg International Economic Forum, Chinese president arrives in Moscow to boost cooperation, President Hu Jintao Meets with Russian Prime Minister Putin, Chinese, Russian presidents hold talks on co-op, Hu calls for dedication to developing China-Russia partnership, China, Russia issue joint statement on major international issues, Chinese, Russian presidents meet for deepening strategic partnership, China, Sri Lanka vow to enhance cooperation, Chinese president calls for joint efforts to address world economic challenges, Chinese president wraps up state visit to Russia","Hu Jintao, Alexander Avdeyev, Hu Jintao, Hu Jintao, Vladimir Putin, Hu Jintao, Dmitry Medvedev, Hu Jintao, Hu Jintao, Dmitry Medvedev, Hu Jintao, Dmitry Medvedev, Hu Jintao, Mahinda Rajapakse, Hu Jintao, Hu Jintao",15.6.2011 - 18.6.2011,18.6.2011,18.6.2011,TRUE,18.6.2011,"June 18, 2011",Russia,St. Petersburg,,http://news.xinhuanet.com/english2010/china/2011-06/18/c_13937036.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=11252
Chinese president charts priorities for SCO's development,Hu Jintao,Chinese president charts priorities for SCO's development,Hu Jintao,Chinese president charts priorities for SCO's development,Hu Jintao,"President Hu Jintao Arrives in Kazakhstan for Visit, SCO Summit
, Chinese, Kazakh presidents hold talks on partnership, China, Kazakhstan issue statement on developing all-round strategic partnership, President Hu Jintao Meets with Kyrgyz Counterpart Otunbayeva, President Hu Jintao Meets with Iranian Counterpart Ahmadinejad, Chinese president urges Iran to resume dialogue with six nations as soon as possible, Chinese president meets Kyrgyz president on cooperation, Chinese, Tajik presidents meet on ties in Astana, Chinese president proposes measures to boost co-op with Kazakhstan, Chinese president: China-Iran friendly cooperation conducive to peace, stability in region, world, Chinese, Kyrgyz presidents call for deepening ties, Chinese, Iranian presidents discuss friendly cooperation, nuclear issue, Chinese president charts priorities for SCO's development","Hu Jintao, Hu Jintao, Nursultan Nazarbayev, Hu Jintao, Nursultan Nazarbayev, Hu Jintao, Roza Otunbayeva, Hu Jintao, Mahmoud Ahmadinejad, Hu Jintao, Hu Jintao, Roza Otunbayeva, Hu Jintao, Emomali Rahmon, Hu Jintao, Karim Masimov, Hu Jintao, Ahmadinejad Mahmud, Hu Jintao, Roza Otunbayeva, Hu Jintao, Mahmud Ahmadinejad, Hu Jintao",12.6.2011 - 15.6.2011,15.6.2011,15.6.2011,TRUE,15.6.2011,"June 15, 2011",Kazakhstan,Astana,,http://news.xinhuanet.com/english2010/china/2011-06/15/c_13931368.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=11219
Australian PM's visit to China will enhance trust and promote cooperation: Chinese Ambassador to Australia,"Hu Jintao, Wen Jiabao, Julia Gillard",Australian PM's visit to China will enhance trust and promote cooperation: Chinese Ambassador to Australia,"Hu Jintao, Wen Jiabao, Julia Gillard",Australian PM's visit to China will enhance trust and promote cooperation: Chinese Ambassador to Australia,"Hu Jintao, Wen Jiabao, Julia Gillard",Australian PM's visit to China will enhance trust and promote cooperation: Chinese Ambassador to Australia,"Hu Jintao, Wen Jiabao, Julia Gillard",24.4.2011,24.4.2011,24.4.2011,TRUE,24.4.2011,"April 24, 2011",Australia,Canberra,,http://news.xinhuanet.com/english2010/china/2011-04/24/c_13843438.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=10720
Chinese president ends state visit to United States,Hu Jintao,Chinese president ends state visit to United States,Hu Jintao,Chinese president ends state visit to United States,Hu Jintao,"Chinese president starts state visit to U.S., President Hu Jintao Meets with Former U.S. President Clinton, Chinese president looks to entrepreneurs to boost China-U.S. ties, Chinese president vows to advance positive, cooperative and comprehensive relationship with U.S., Chinese President Hu says to further increase people-to-people exchanges with U.S., Hu, Obama set new tone for relations, Chinese president attends private dinner hosted by Obama, President Hu calls for China-U.S. cooperation to meet global challenges, China, U.S. to build cooperative partnership of mutual respect and mutual benefit , China, U.S. aim at cooperative partnership for global benefits , President Hu says important consensus reached in talks with Obama, China, U.S. aim at cooperative partnership for global benefits , Full text of Hu's speech at welcome luncheon by U.S. friendly organizations, Chinese President Hu attends luncheon by U.S. friendly organizations, Chinese president initiates proposal to advance Sino-U.S. relations, Chinese president sees broader basis for Sino-U.S. cooperation on global issues, Chinese president in Chicago to continue U.S. visit, Hu's visit brings U.S., China closer: former U.S. defense secretary, Chinese president in Chicago to continue U.S. visit, Chinese president urges U.S. Congress to further facilitate bilateral ties, Obama says U.S. welcomes China's peaceful rise, Chinese president says China committed to protecting human rights, Hu's visit opens new chapter in relations, Hu: Foreign investors treated equally in China, Chinese president tours high school in Chicago, Chinese president visits exhibition of U.S. Midwest companies, Chinese president ends state visit to United States","Hu Jintao, Hu Jintao, Bill Clinton, Hu Jintao, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Barack Obama, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao, Richard Daley, Hu Jintao, William Cohen, Hu Jintao, Hu Jintao, Harry Reid, Hu Jintao, Barack Obama, Hu Jintao, Hu Jintao, Barack Obama, Hu Jintao, Hu Jintao, Hu Jintao, Hu Jintao",18.1.2011 - 21.1.2011,21.1.2011,21.1.2011,TRUE,21.1.2011,"January 21, 2011",USA,Illinois,Chicago,http://news.xinhuanet.com/english2010/china/2011-01/22/c_13702069.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=10015
Chinese president attends G20 Seoul Summit,Hu Jintao,Chinese president attends G20 Seoul Summit,Hu Jintao,Chinese president attends G20 Seoul Summit,Hu Jintao,"Chinese president arrives in Seoul for G20 summit, Chinese, South Korean presidents discuss bilateral ties, China, U.S. presidents agree to further boost ties, Chinese, Russian presidents meet in Seoul on cooperation, Chinese president attends G20 Seoul Summit","Hu Jintao, Yongqing Liu, Hu Jintao, Myung-bak Lee, Hu Jintao, Barack Obama, Hu Jintao, Dmitry Medvedev, Hu Jintao",11.11.2010 - 12.11.2010,12.11.2010,12.11.2010,TRUE,12.11.2010,"November 12, 2010",Republic of Korea,Seoul,,http://news.xinhuanet.com/english2010/china/2010-11/12/c_13603055.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=9343
"China, Portugal pledge to step up strategic partnership","Hu Jintao, Jose Socrates","China, Portugal pledge to step up strategic partnership","Hu Jintao, Jose Socrates","China, Portugal pledge to step up strategic partnership","Hu Jintao, Jose Socrates","Chinese president arrives in Lisbon for state visit, Chinese, Portuguese leaders talk on cooperation , Chinese president concludes Portugal trip, Chinese president hugs Portuguese cavalryman during visit, Chinese president concludes Portugal trip, Chinese president meets Portuguese PM on bilateral ties, New page in China-Portugal relations, China, Portugal pledge to step up strategic partnership","Hu Jintao, Hu Jintao, Anibal Cavaco Silva, Hu Jintao, Jose Socrates, Hu Jintao, Hu Jintao, Jose Socrates, Hu Jintao, Jose Socrates, Hu Jintao, Anibal Cavaco Silva, Hu Jintao, Jose Socrates",6.11.2010 - 8.11.2010,8.11.2010,8.11.2010,TRUE,8.11.2010,"November 08, 2010",Portugal,Lisbon,,http://news.xinhuanet.com/english2010/china/2010-11/08/c_13596252.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=9283
Chinese president wraps up visit to France,Hu Jintao,Chinese president wraps up visit to France,Hu Jintao,Chinese president wraps up visit to France,Hu Jintao,"Chinese president calls for strengthening Sino-French exchanges, cooperation, China, France pledge to strengthen comprehensive strategic partnership
, Chinese president arrives in Paris for state visit, Hu Jintao Holds Talks Once Again with Sarkozy, Chinese president calls for new areas, richer content in China-France partnership, Chinese president calls for concerted G20 efforts to back economic recovery, Chinese, French presidents meet on bilateral ties, Chinese president meets French leaders on bilateral ties, G20 , Chinese president wraps up visit to France","Hu Jintao, Nicolas Sarkozy, Carla Bruni, Yongqing Liu, Hu Jintao, Hu Jintao, Nicolas Sarkozy, Hu Jintao, Nicolas Sarkozy, Hu Jintao, Hu Jintao, Nicolas Sarkozy, Hu Jintao, Nicolas Sarkozy, Hu Jintao, Nicolas Sarkozy, Hu Jintao",4.11.2010 - 6.11.2010,6.11.2010,6.11.2010,TRUE,6.11.2010,"November 06, 2010",France,Nice,,http://news.xinhuanet.com/english2010/china/2010-11/06/c_13594308.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=9261
"China, South Africa upgrade relations to ""comprehensive strategic partnership""","Hu Jintao, Jacob Zuma","China, South Africa upgrade relations to ""comprehensive strategic partnership""","Hu Jintao, Jacob Zuma","China, South Africa upgrade relations to ""comprehensive strategic partnership""","Hu Jintao, Jacob Zuma","China, South Africa upgrade relations to ""comprehensive strategic partnership""","Hu Jintao, Jacob Zuma",24.8.2010,24.8.2010,24.8.2010,TRUE,24.8.2010,"August 24, 2010",,,,http://news.xinhuanet.com/english2010/china/2010-08/25/c_13460360.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8626
